crate, effects, macros, macro LoC, conditional blocks, conditional LoC, skipped calls, skipped call LoC, skipped fn pointers, skipped pointers LoC, skipped other, skipped other LoC, unsafe traits, unsafe trait LoC, unsafe impls, unsafe impl LoC, public fns, public fns with effects, public total effects, audited fns, audited LoC, total LoC
rand, 17, 118, 1053, 50, 3555, 0, 0, 0, 0, 29, 29, 0, 0, 0, 0, 62, 1, 1, 8, 72, 10180
syn, 262, 1656, 6204, 24, 229, 0, 0, 0, 0, 48, 103, 0, 0, 3, 3, 719, 390, 6084, 596, 8860, 49748
rand_core, 0, 14, 14, 10, 375, 0, 0, 0, 0, 11, 62, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1655
libc, 6335, 538, 41943, 4, 126, 0, 0, 0, 0, 16, 16, 0, 0, 2, 2, 6366, 6294, 6328, 6297, 12369, 122769
cfg-if, 0, 1, 69, 1, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188
quote, 0, 70, 1474, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 0, 0, 23, 0, 0, 0, 0, 2637
proc-macro2, 7, 63, 234, 79, 672, 0, 0, 0, 0, 13, 13, 0, 0, 0, 0, 49, 1, 1, 6, 26, 5077
unicode-xid, 0, 4, 4, 5, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1687
serde, 4, 393, 2757, 14, 228, 0, 0, 0, 0, 260, 294, 0, 0, 0, 0, 80, 3, 3, 4, 129, 17208
autocfg, 20, 46, 79, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 5, 18, 9, 200, 920
